timestamp,mmsi,latitude,longitude,sog,cog,true_heading,navigational_status
2025-05-10 16:34:43.295341239 +0000 UTC,368171260,33.73826666666667,-118.27665833333334,5.7,177.5,178,12
2025-05-10 16:34:43.331787899 +0000 UTC,367661930,33.72984666666667,-118.22327833333334,1.1,1.1,29,0
2025-05-10 16:34:44.521283435 +0000 UTC,366926740,33.728316666666665,-118.27433333333333,0,15.7,305,0
2025-05-10 16:34:45.099997194 +0000 UTC,366892000,33.74265,-118.21414333333334,6.4,321.8,329,0
2025-05-10 16:34:46.18437924 +0000 UTC,368084540,33.739865,-118.27803999999999,0,270.2,6,0
2025-05-10 16:34:46.528317764 +0000 UTC,368136950,33.740233333333336,-118.27813333333333,0,332.5,189,0
2025-05-10 16:34:46.833273718 +0000 UTC,367006790,33.73547833333333,-118.16270333333334,0.2,73.4,286,5
2025-05-10 16:34:51.649737097 +0000 UTC,367124980,33.73457666666666,-118.270905,0.1,282.3,511,0
2025-05-10 16:34:52.362109545 +0000 UTC,369725000,33.736898333333336,-118.27798666666666,0,360,511,5
2025-05-10 16:34:53.286438218 +0000 UTC,368024740,33.730356666666665,-118.22422499999999,6.9,20.5,28,0
2025-05-10 16:34:54.738777587 +0000 UTC,368133450,33.73027666666667,-118.26257000000001,0,323.5,252,12
2025-05-10 16:34:54.861296286 +0000 UTC,367393270,33.73504166666667,-118.271035,0,235.6,511,0
2025-05-10 16:34:57.471056157 +0000 UTC,368226970,33.740716666666664,-118.27839166666666,0,251,511,0
2025-05-10 16:34:57.984307478 +0000 UTC,367044560,33.76275166666667,-118.26556000000001,0,227.4,511,15
2025-05-10 16:34:58.003386943 +0000 UTC,367034960,33.767455,-118.21697,0.1,286.3,511,0
2025-05-10 16:34:58.360852352 +0000 UTC,338140889,33.77003833333333,-118.21235333333334,0,250.1,511,15
2025-05-10 16:34:58.555697607 +0000 UTC,366734000,33.74407333333333,-118.22672833333333,0,0,511,5
2025-05-10 16:34:59.356070065 +0000 UTC,367580930,33.76244666666666,-118.1954,0,360,511,0
2025-05-10 16:34:59.372867918 +0000 UTC,367035570,33.73347833333334,-118.26354333333333,0,254,178,3
2025-05-10 16:35:03.497341515 +0000 UTC,367704150,33.76222666666667,-118.19549333333333,0,360,511,0
2025-05-10 16:35:03.879012447 +0000 UTC,367401030,33.739815,-118.27818666666667,0,134.6,7,0
2025-05-10 16:35:04.099950459 +0000 UTC,338899000,33.73497166666667,-118.27405999999999,0,342.3,154,5
2025-05-10 16:35:05.441004782 +0000 UTC,311001627,33.73061333333333,-118.22287833333333,0.5,299.6,37,0
2025-05-10 16:35:07.305111162 +0000 UTC,368010330,33.745205,-118.215835,6,331.3,327,0
2025-05-10 16:35:08.679486629 +0000 UTC,367027570,33.753926666666665,-118.22432833333333,0,253.1,254,0
2025-05-10 16:35:09.198825776 +0000 UTC,367698890,33.743285,-118.27519833333334,6.2,201.3,198,5
2025-05-10 16:35:09.852499011 +0000 UTC,367192940,33.74680166666666,-118.27436166666666,8.1,186.6,511,0
2025-05-10 16:35:10.58375083 +0000 UTC,563154300,33.76349333333334,-118.25996833333333,0,14,175,5
2025-05-10 16:35:10.66856042 +0000 UTC,241529000,33.734071666666665,-118.169365,0,223.1,303,1
